Left_B,Front_B,Right_B,Cosine_Angle,Collision,Food_x,Food_y,Head_x,Head_y,Sugg_Direction,,
0,0,0,45,1,200,280,280,360,3,,
0,0,0,63.43,1,200,320,280,360,1,,
0,0,0,45,1,240,320,280,360,3,,
0,1,0,90,1,240,360,280,360,1,,
0,0,1,0,1,280,360,280,360,2,,
0,0,1,104.04,0,320,360,240,40,1,,
0,0,0,15.95,1,320,320,240,40,1,,
1,1,0,81.87,1,280,320,240,40,3,,
0,0,0,9.46,1,280,280,240,40,1,,
1,1,0,90,1,240,280,240,40,3,,
0,0,0,0,1,240,240,240,40,2,,
1,0,0,0,1,240,200,240,40,2,,
0,0,0,0,1,240,160,240,40,2,,
0,0,0,0,1,240,120,240,40,2,,
0,0,0,0,1,240,80,240,40,2,,
0,0,0,0,1,240,40,240,40,2,,
0,1,0,167.47,0,240,0,320,360,3,,
1,0,0,83.66,1,280,0,320,360,3,,
0,0,1,7.13,1,280,40,320,360,1,,
0,0,0,90,1,320,40,320,360,3,,
0,0,0,0,1,320,80,320,360,2,,
0,0,0,0,1,320,120,320,360,2,,
0,0,0,0,1,320,160,320,360,2,,
0,0,0,0,1,320,200,320,360,2,,
0,0,0,0,1,320,240,320,360,2,,
0,0,1,0,1,320,280,320,360,2,,
0,0,0,0,1,320,320,320,360,2,,
0,1,0,0,1,320,360,320,360,1,,
0,1,1,123.69,0,360,360,280,240,1,,
1,0,1,45,1,360,320,280,240,2,,
1,0,1,63.43,1,360,280,280,240,2,,
1,0,1,90,1,360,240,280,240,2,,
1,0,1,116.57,0,360,200,280,240,2,,
1,0,1,135,0,360,160,280,240,2,,
1,0,1,146.31,0,360,120,280,240,2,,
1,0,1,153.43,0,360,80,280,240,2,,
1,0,1,158.2,0,360,40,280,240,2,,
0,1,1,161.57,0,360,0,280,240,1,,
0,0,1,80.54,1,320,0,280,240,1,,
1,0,0,11.31,1,320,40,280,240,3,,
0,0,0,90,1,280,40,280,240,1,,
0,0,0,0,1,280,80,280,240,2,,
0,0,0,0,1,280,120,280,240,2,,
0,0,0,0,1,280,160,280,240,2,,
0,0,0,0,1,280,200,280,240,2,,
0,0,0,0,1,280,240,280,240,2,,
0,0,0,90,1,280,280,160,280,3,,
0,0,0,0,1,240,280,160,280,2,,
0,0,0,0,1,200,280,160,280,2,,
0,0,0,0,1,160,280,160,280,2,,
0,0,0,90,1,120,280,120,40,3,,
0,0,0,0,1,120,240,120,40,2,,
0,0,0,0,1,120,200,120,40,2,,
0,0,0,0,1,120,160,120,40,2,,
0,0,0,0,1,120,120,120,40,2,,
0,0,0,0,1,120,80,120,40,2,,
0,0,0,0,1,120,40,120,40,2,,
0,1,0,165.96,0,120,0,200,320,3,,
1,0,0,82.87,1,160,0,200,320,3,,
